	Phylum
1073_Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Acetobacteraceae_Acetobacteraceae_unclassified_91__Acetobacteraceae_unclassified_91__	Proteobacteria
1074_Bacteria_Verrucomicrobia__Methylacidiphilae__Methylacidiphilales_Methylacidiphilales_unclassified_Methylacidiphilales_unclassified_Methylacidiphilales_unclassified_	Verrucomicrobia
1075_Bacteria_Armatimonadetes__Fimbriimonadia___Fimbriimonadales___Fimbriimonadaceae__Fimbriimonas_Fimbriimonas_unclassified_	Armatimonadetes
1076_Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Beijerinckiaceae_Beijerinckiaceae_unclassified_Beijerinckiaceae_unclassified_	Proteobacteria
1077_Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus_94__Bacillus_unclassified_80__	Firmicutes
1078_Bacteria_Proteobacteria_Alphaproteobacteria_Rhizobiales_Beijerinckiaceae_Beijerinckiaceae_unclassified_Beijerinckiaceae_unclassified_	Proteobacteria
1079_Bacteria_Verrucomicrobia__Spartobacteria___Chthoniobacterales___Chthoniobacteraceae__96___Chthoniobacteraceae__unclassified_66___Chthoniobacteraceae__unclassified_66__	Verrucomicrobia
107_Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Acidobacteriaceae_unclassified_Acidobacteriaceae_unclassified_	Acidobacteria
1080_Bacteria_Proteobacteria_Gammaproteobacteria_Gammaproteobacteria_unclassified_Gammaproteobacteria_unclassified_Gammaproteobacteria_unclassified_Gammaproteobacteria_unclassified_	Proteobacteria
1081_Bacteria_Cyanobacteria_4C0d-2_MLE1-12_MLE1-12_unclassified_MLE1-12_unclassified_MLE1-12_unclassified_	Cyanobacteria
1082_Bacteria_Verrucomicrobia__Methylacidiphilae__Methylacidiphilales_Methylacidiphilales_unclassified_Methylacidiphilales_unclassified_Methylacidiphilales_unclassified_	Verrucomicrobia
1083_Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Rhodospirillaceae_unclassified_Rhodospirillaceae_unclassified_	Proteobacteria
1084_Bacteria_Acidobacteria__Chloracidobacteria__RB41_RB41_unclassified_RB41_unclassified_RB41_unclassified_	Acidobacteria
1085_Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingomonas_wittichii_	Proteobacteria
1086_Bacteria_Proteobacteria_Alphaproteobacteria_Sphingomonadales_Sphingomonadaceae_Sphingomonas_91__Sphingomonas_unclassified_72__	Proteobacteria
1087_Bacteria_Acidobacteria_Acidobacteriia_Acidobacteriales_Acidobacteriaceae_Acidobacteriaceae_unclassified_Acidobacteriaceae_unclassified_	Acidobacteria
1088_Bacteria_Proteobacteria_Gammaproteobacteria_Enterobacteriales_Enterobacteriaceae_Enterobacteriaceae_unclassified_98__Enterobacteriaceae_unclassified_98__	Proteobacteria
1089_Bacteria_Others_Others_unclassified_Others_unclassified_Others_unclassified_Others_unclassified_Others_unclassified_	Bacteria_unclassified
108_Bacteria_Bacteroidetes__Saprospirae___Saprospirales__Chitinophagaceae_Chitinophagaceae_unclassified_Chitinophagaceae_unclassified_	Bacteroidetes
