OTU	Size	Taxonomy
Otu00100	3309	Bacteria;Proteobacteria;Alphaproteobacteria;Ellin329;Ellin329_unclassified;Ellin329_unclassified;Ellin329_unclassified;
Otu00101	3306	Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_unclassified;Betaproteobacteria_unclassified;Betaproteobacteria_unclassified;Betaproteobacteria_unclassified;
Otu00102	3284	Bacteria;Cyanobacteria;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;Cyanobacteria_unclassified;
Otu00103	3223	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
Otu00104	3197	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacteriaceae_unclassified;Enterobacteriaceae_unclassified;
Otu00105	3181	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00106	3102	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacteraceae_unclassified(81);Caulobacteraceae_unclassified(81);
Otu00107	3102	Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacteraceae_unclassified(97);Caulobacteraceae_unclassified(97);
Otu00108	3086	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00109	3057	Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Methylocystaceae(55);Methylocystaceae_unclassified(55);Methylocystaceae_unclassified(55);
Otu00110	3008	Bacteria;Others;Others_unclassified;Others_unclassified;Others_unclassified;Others_unclassified;Others_unclassified;
Otu00111	3004	Bacteria;Verrucomicrobia;[Methylacidiphilae];Methylacidiphilales;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;Methylacidiphilales_unclassified;
Otu00112	2927	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
Otu00113	2847	Bacteria;Bacteroidetes;[Saprospirae];[Saprospirales];Chitinophagaceae;Chitinophagaceae_unclassified;Chitinophagaceae_unclassified;
Otu00114	2845	Bacteria;Actinobacteria;Actinobacteria;Actinomycetales;Thermomonosporaceae(97);Thermomonosporaceae_unclassified(86);Thermomonosporaceae_unclassified(86);
Otu00115	2785	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00116	2784	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
Otu00117	2775	Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacteriales;Enterobacteriaceae;Enterobacteriaceae_unclassified(97);Enterobacteriaceae_unclassified(97);
Otu00118	2670	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Mucilaginibacter(96);Mucilaginibacter_unclassified(66);
Otu00119	2669	Bacteria;Acidobacteria;Acidobacteriia;Acidobacteriales;Acidobacteriaceae;Acidobacteriaceae_unclassified;Acidobacteriaceae_unclassified;
Otu00120	2649	Bacteria;Verrucomicrobia;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;Verrucomicrobia_unclassified;
Otu00121	2602	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacteraceae_unclassified;Acetobacteraceae_unclassified;
Otu00122	2588	Bacteria;Verrucomicrobia;[Spartobacteria];[Chthoniobacterales];[Chthoniobacterales]_unclassified(69);[Chthoniobacterales]_unclassified(69);[Chthoniobacterales]_unclassified(69);
